Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total (EUR),Withholding tax,Currency (Withholding tax)
Dividend (Ordinary),2021-01-07 11:51:36,US7580754023,RWT,"Redwood",5.8631000000,0.13,USD,Not available,0.60,0.08,USD
Dividend (Ordinary),2021-01-11 12:50:22,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",4.1998210000,0.25,GBP,Not available,1.16,0.00,GBP
Dividend (Ordinary),2021-01-11 13:06:14,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",3.1682440000,0.16,GBP,Not available,0.56,0.00,GBP
Dividend (Ordinary),2021-01-11 15:49:16,US11135F1012,AVGO,"Broadcom ",0.2105619000,3.24,USD,Not available,0.56,0.08,USD
Dividend (Ordinary),2021-01-19 10:19:28,US5057431042,LADR,"Ladder Capital",3.7957500000,0.18,USD,Not available,0.56,0.08,USD
Dividend (Ordinary),2021-02-08 10:07:00,US00206R1023,T,"AT&T",2.8120620000,0.47,USD,Not available,1.09,0.15,USD
Dividend (Ordinary),2021-02-19 09:06:44,US0378331005,AAPL,"Apple",0.8943241000,0.18,USD,Not available,0.14,0.02,USD
Dividend (Ordinary),2021-02-19 09:10:49,US0378331005,AAPL,"Apple",0.8943241000,0.18,USD,Not available,0.14,0.02,USD
Dividend (Ordinary),2021-02-19 09:14:52,US0378331005,AAPL,"Apple",0.8943241000,0.18,USD,Not available,0.14,0.02,USD
Dividend (Ordinary),2021-02-23 15:47:14,US7427181091,PG,"Procter & Gamble",0.5839298000,0.71,USD,Not available,0.34,0.05,USD
Dividend (Ordinary),2021-03-05 17:34:22,US68268W1036,OMF,"OneMain  ",1.0000000000,3.56,USD,Not available,2.98,0.40,USD
Dividend (Ordinary),2021-03-15 14:41:50,US7170811035,PFE,"Pfizer",2.1047000000,0.35,USD,Not available,0.62,0.08,USD
Dividend (Ordinary),2021-03-16 09:55:31,US4781601046,JNJ,"Johnson & Johnson",0.3108153000,0.91,USD,Not available,0.24,0.03,USD
Dividend (Ordinary),2021-04-01 12:59:11,GB0009895292,AZN,"AstraZeneca",0.6787311900,137.40,GBX,Not available,1.09,0.00,GBX
Dividend (Ordinary),2021-04-02 09:51:13,US7580754023,RWT,"Redwood",5.8631000000,0.14,USD,Not available,0.72,0.09,USD
Dividend (Ordinary),2021-04-06 13:05:53,US1912161007,KO,"Coca-Cola",2.4382670000,0.38,USD,Not available,0.78,0.10,USD
Dividend (Ordinary),2021-04-06 14:40:54,US11135F1012,AVGO,"Broadcom ",0.2661855000,3.24,USD,Not available,0.73,0.10,USD
Dividend (Ordinary),2021-04-06 18:24:22,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",4.0043630000,0.17,GBP,Not available,0.81,0.00,GBP
Dividend (Ordinary),2021-04-06 18:28:43,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",5.2747490000,0.27,GBP,Not available,1.69,-0.00,GBP
Dividend (Ordinary),2021-04-08 13:50:37,CH0012221716,ABBN,"ABB",2.3659890000,0.52,CHF,Not available,1.12,0.66,CHF
Dividend (Ordinary),2021-04-19 15:53:06,US5057431042,LADR,"Ladder Capital",3.7957500000,0.18,USD,Not available,0.57,0.08,USD
Dividend (Ordinary),2021-04-27 09:09:58,FR0000121014,MC,"LVMH",0.1150901000,2.94,EUR,Not available,0.34,0.12,EUR
Dividend (Ordinary),2021-05-05 08:42:51,US00206R1023,T,"AT&T",3.7063620000,0.47,USD,Not available,1.45,0.19,USD
Dividend (Ordinary),2021-05-06 08:18:10,GB00BYN59130,DOM,"Domino's Pizza Group",23.9498606000,9.10,GBX,Not available,2.52,0.00,GBX
Dividend (Ordinary),2021-05-14 12:41:54,US68268W1036,OMF,"OneMain  ",1.0000000000,0.63,USD,Not available,0.52,0.07,USD
Dividend (Ordinary),2021-05-17 14:11:39,NL0010273215,ASML,"ASML Holding",0.1379063000,1.32,EUR,Not available,0.18,0.03,EUR
Dividend (Ordinary),2021-05-17 14:20:37,US0378331005,AAPL,"Apple",1.1034316000,0.20,USD,Not available,0.18,0.02,USD
Dividend (Ordinary),2021-05-19 14:25:18,US7427181091,PG,"Procter & Gamble",0.8449072000,0.78,USD,Not available,0.54,0.07,USD
Dividend (Ordinary),2021-05-20 12:50:55,DE0007164600,SAP,"SAP SE",0.5654637000,1.36,EUR,Not available,0.77,0.28,EUR
Dividend (Ordinary),2021-05-28 09:41:57,IE00B1XNHC34,INRG,"iShares Global Clean Energy",21.6178627200,3.02,GBX,Not available,0.76,0.00,GBX
Dividend (Ordinary),2021-06-10 08:05:35,US7170811035,PFE,"Pfizer",3.0639670000,0.35,USD,Not available,0.88,0.12,USD
Dividend (Return of capital),2021-06-10 08:41:25,US8356993076,SONY,"Sony Group",1.1971993000,0.23,USD,Not available,0.23,0.00,USD
Dividend (Ordinary),2021-06-11 15:38:44,US4781601046,JNJ,"Johnson & Johnson",0.3108153000,0.95,USD,Not available,0.25,0.03,USD
Dividend (Ordinary),2021-07-05 10:27:35,US11135F1012,AVGO,"Broadcom ",0.3232489000,3.24,USD,Not available,0.88,0.12,USD
Dividend (Ordinary),2021-07-05 13:37:26,US7580754023,RWT,"Redwood",5.8631000000,0.16,USD,Not available,0.80,0.11,USD
Dividend (Ordinary),2021-07-06 07:02:26,US1912161007,KO,"Coca-Cola",3.0087210000,0.38,USD,Not available,0.96,0.13,USD
Dividend (Ordinary),2021-07-06 07:47:52,US0126531013,ALB,"Albemarle",0.0241530000,0.35,USD,Not available,0.01,0.00,USD
Dividend (Ordinary),2021-07-06 08:14:32,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",4.0206360000,0.16,GBP,Not available,0.77,-0.00,GBP
Dividend (Ordinary),2021-07-06 08:20:15,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",5.2957230000,0.44,GBP,Not available,2.74,0.00,GBP
Dividend (Ordinary),2021-07-19 11:27:20,US5057431042,LADR,"Ladder Capital",3.7957500000,0.18,USD,Not available,0.58,0.08,USD
Dividend (Ordinary),2021-08-04 09:20:24,US00206R1023,T,"AT&T",4.6249790000,0.47,USD,Not available,1.83,0.24,USD
Dividend (Ordinary),2021-08-04 13:13:57,US46625H1005,JPM,"JPMorgan Chase",0.0345052000,0.81,USD,Not available,0.02,0.00,USD
Dividend (Ordinary),2021-08-10 14:47:42,GB00BH4HKS39,VOD,"Vodafone Group",53.7269281000,3.83,GBX,Not available,2.44,0.00,GBX
Dividend (Ordinary),2021-08-13 07:48:34,US0378331005,AAPL,"Apple",1.2801092000,0.20,USD,Not available,0.22,0.03,USD
Dividend (Ordinary),2021-08-17 08:59:09,US68268W1036,OMF,"OneMain  ",1.0000000000,0.63,USD,Not available,0.53,0.07,USD
Dividend (Bonus),2021-08-17 08:59:21,US68268W1036,OMF,"OneMain  ",1.0000000000,3.15,USD,Not available,2.67,0.35,USD
Dividend (Ordinary),2021-08-19 09:02:33,US7427181091,PG,"Procter & Gamble",0.9841702000,0.78,USD,Not available,0.66,0.09,USD
Dividend (Ordinary),2021-09-02 10:48:41,US30212W1009,EXPI,"eXp World Holdings",0.2113030000,0.04,USD,Not available,0.01,0.00,USD
Dividend (Ordinary),2021-09-09 12:06:48,US4781601046,JNJ,"Johnson & Johnson",0.3108153000,0.95,USD,Not available,0.25,0.03,USD
Dividend (Ordinary),2021-09-09 12:24:39,US7170811035,PFE,"Pfizer",3.5454210000,0.35,USD,Not available,1.05,0.14,USD
Dividend (Ordinary),2021-09-24 13:08:47,GB0009895292,AZN,"AstraZeneca",0.9744589900,64.80,GBX,Not available,0.74,0.00,GBX
Dividend (Ordinary),2021-09-28 12:38:15,GB00BYN59130,DOM,"Domino's Pizza Group",29.0975420000,3.00,GBX,Not available,1.01,0.00,GBX
Dividend (Ordinary),2021-10-01 13:10:19,US7580754023,RWT,"Redwood",5.8631000000,0.19,USD,Not available,0.96,0.12,USD
Dividend (Ordinary),2021-10-04 08:16:48,US11135F1012,AVGO,"Broadcom ",0.3232489000,3.24,USD,Not available,0.90,0.12,USD
Dividend (Ordinary),2021-10-05 09:43:44,US1912161007,KO,"Coca-Cola",3.0087210000,0.38,USD,Not available,0.98,0.13,USD
Dividend (Ordinary),2021-10-05 11:32:17,US0126531013,ALB,"Albemarle",0.0662073000,0.35,USD,Not available,0.02,0.00,USD
Dividend (Ordinary),2021-10-06 15:28:31,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",5.7367270000,0.38,GBP,Not available,2.54,-0.00,GBP
Dividend (Ordinary),2021-10-06 15:41:17,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",4.3384310000,0.19,GBP,Not available,0.96,-0.00,GBP
Dividend (Ordinary),2021-10-18 17:40:53,US5057431042,LADR,"Ladder Capital",3.7957500000,0.18,USD,Not available,0.59,0.08,USD
Dividend (Ordinary),2021-11-02 14:29:45,US46625H1005,JPM,"JPMorgan Chase",0.1262457000,0.90,USD,Not available,0.10,0.01,USD
Dividend (Ordinary),2021-11-02 15:37:48,US00206R1023,T,"AT&T",4.6686870000,0.47,USD,Not available,1.89,0.24,USD
Dividend (Ordinary),2021-11-10 09:52:21,US68268W1036,OMF,"OneMain  ",1.0000000000,0.63,USD,Not available,0.54,0.07,USD
Dividend (Ordinary),2021-11-15 08:29:19,NL0010273215,ASML,"ASML Holding",0.2005630000,1.53,EUR,Not available,0.31,0.05,EUR
Dividend (Ordinary),2021-11-15 09:41:31,US0378331005,AAPL,"Apple",1.4041359000,0.20,USD,Not available,0.24,0.03,USD
Dividend (Ordinary),2021-11-17 13:51:52,US7427181091,PG,"Procter & Gamble",1.0908892000,0.78,USD,Not available,0.76,0.09,USD
Dividend (Ordinary),2021-11-26 13:19:11,IE00B1XNHC34,INRG,"iShares Global Clean Energy",23.9945816200,3.60,GBX,Not available,1.02,0.00,GBX
Dividend (Ordinary),2021-11-30 13:52:12,US30212W1009,EXPI,"eXp World Holdings",0.3078972143,0.04,USD,Not available,0.01,0.00,USD
Dividend (Ordinary),2021-12-06 08:58:58,FR0000121014,MC,"LVMH",0.1742440000,2.21,EUR,Not available,0.38,0.14,EUR
Dividend (Ordinary),2021-12-07 17:27:26,US7170811035,PFE,"Pfizer",3.9022500000,0.35,USD,Not available,1.22,0.15,USD
Dividend (Ordinary),2021-12-08 15:29:01,US4781601046,JNJ,"Johnson & Johnson",0.3108153000,0.95,USD,Not available,0.26,0.03,USD
Dividend (Ordinary),2021-12-09 12:24:22,US8356993076,SONY,"Sony Group",1.6424526000,0.22,USD,Not available,0.33,0.07,USD
Dividend (Ordinary),2021-12-16 12:54:02,US1912161007,KO,"Coca-Cola",3.3359370000,0.38,USD,Not available,1.11,0.14,USD
Dividend (Ordinary),2021-12-29 09:39:04,US7580754023,RWT,"Redwood",5.8631000000,0.21,USD,Not available,1.08,0.13,USD
Dividend (Ordinary),2021-12-31 13:33:05,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",6.8122230000,0.38,GBP,Not available,3.05,0.00,GBP